,Aggregated name,Species links,Catalogue of Fishes ID,Taxonomic standing,Eschmeyer accepted name 
fila.618,Curimata-cisandina,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=29933,29933,Valid,Curimata cisandina
fila.619,Curimata-cyprinoides,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4285,4285,Valid,Curimata cyprinoides
fila.620,Curimata-incompta,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=8078,8078,Valid,Curimata incompta
fila.621,Curimata-inornata,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=57232,57232,Valid,Curimata inornata
fila.622,Curimata-knerii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=29967,29967,Valid,Curimata knerii
fila.623,Curimata-mivartii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4377,4377,Valid,Curimata mivartii
fila.624,Curimata-vittata,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=29930,29930,Valid,Curimata vittata
fila.625,Curimatella-alburna,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4417,4417,Valid,Curimatella alburnus
fila.626,Curimatella-dorsalis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4465,4465,Valid,Curimatella dorsalis
fila.627,Curimatella-immaculata,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=29927,29927,Valid,Curimatella immaculata
fila.628,Curimatella-meyeri,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4367,4367,Valid,Curimatella meyeri
fila.629,Curimatopsis-macrolepis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4229,4229,Valid,Curimatopsis macrolepis
fila.630,Curimatopsis-microlepis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4393,4393,Valid,Curimatopsis microlepis
fila.631,Cycleptus-elongatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3675,3675,Valid,Cycleptus elongatus
fila.632,Cycleptus-meridionalis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=65469,65469,Valid,Cycleptus meridionalis
fila.633,Cyclocheilichthys-apogon,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3206,3206,Valid,Cyclocheilichthys apogon
fila.634,Cyclocheilichthys-armatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=31710,31710,Valid,Cyclocheilichthys armatus
fila.635,Cyclocheilichthys-enoplos,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3647,3647,Valid,Cyclocheilos enoplos
fila.636,Cyclocheilichthys-furcatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=57262,57262,Valid,Cyclocheilos furcatus
fila.637,Cyclocheilichthys-heteronema,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3369,3369,Valid,Cyclocheilichthys heteronema
fila.638,Cyclocheilichthys-lagleri,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=57263,57263,Valid,Cyclocheilichthys lagleri
fila.639,Cynodon-gibbus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=4149,4149,Valid,Cynodon gibbus
fila.640,Cynoglossus-feldmanni,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=47278,47278,Valid,Cynoglossus feldmanni
fila.641,Cynoglossus-gracilis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=23206,23206,Valid,Cynoglossus gracilis
fila.642,Cynoglossus-lingua,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=23482,23482,Valid,Cynoglossus lingua
fila.643,Cynoglossus-microlepis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=49385,49385,Valid,Cynoglossus microlepis
fila.644,Cynoglossus-puncticeps,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=23214,23214,Valid,Cynoglossus puncticeps
fila.645,Cyphocharax-abramoides,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=30054,30054,Valid,Cyphocharax abramoides
fila.646,Cyphocharax-corumbae,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=65650,65650,Valid,Cyphocharax corumbae
fila.647,Cyphocharax-magdalenae,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=29909,29909,Valid,Cyphocharax magdalenae
fila.648,Cyphocharax-modestus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=29987,29987,Valid,Cyphocharax modestus
fila.649,Cyphocharax-naegelii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=29917,29917,Valid,Cyphocharax naegelii
fila.650,Cyphocharax-nigripinnis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=59826,59826,Valid,Cyphocharax nigripinnis
fila.651,Cyphocharax-oenas,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=59838,59838,Valid,Cyphocharax oenas
fila.652,Cyphocharax-plumbeus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=30004,30004,Valid,Cyphocharax plumbeus
fila.653,Cyphocharax-spiluropsis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=29922,29922,Valid,Cyphocharax spiluropsis
fila.654,Cyphocharax-voga,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=30022,30022,Valid,Cyphocharax voga
fila.655,Cyprinion-macrostomum,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3129,3129,Valid,Cyprinion macrostomum
fila.656,Cyprinus-barbatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=8694,8694,Valid,Cyprinus barbatus
fila.657,Cyprinus-carpio,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3028,3028,Valid,Cyprinus carpio
fila.658,Cyprinus-chilia,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=63658,63658,Valid,Cyprinus chilia
fila.659,Dajaus-monticola,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=16909,16909,Valid,Dajaus monticola
fila.660,Dallia-pectoralis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=10838,10838,Valid,Dallia pectoralis
fila.661,Danio-albolineatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3636,3636,Valid,Danio albolineatus
fila.662,Datnioides-polota,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19759,19759,Valid,Datnioides polota
fila.663,Datnioides-pulcher,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=64945,64945,Valid,Datnioides pulcher
fila.664,Datnioides-undecimradiatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=62540,62540,Valid,Datnioides undecimradiatus
fila.665,Dawkinsia-singhala,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=31596,31596,Synonym,Dawkinsia filamentosa
fila.666,Dayella-malabarica,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1255,1255,Valid,Dayella malabarica
fila.667,Daysciaena-albida,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=22400,22400,Valid,Daysciaena albida
fila.668,Decorus-decorus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=28978,28978,Valid,Decorus decorus
fila.669,Decorus-tungting,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=54965,54965,Valid,Decorus tungting
fila.670,Deltistes-luxatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2976,2976,Valid,Deltistes luxatus
fila.671,Dendrophysa-russelii,---,---,---,Dendrophysa-russelii
fila.672,Deuterodon-luetkenii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=29146,29146,Valid,Deuterodon luetkenii
fila.673,Devario-leptos,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=65655,65655,Valid,Devario leptos
fila.674,Devario-monticola,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=75025,75025,Valid,Devario monticola
fila.675,Deveximentum-insidiator,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=20122,20122,Valid,Deveximentum insidiator
fila.676,Diapterus-auratus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=20065,20065,Valid,Diapterus auratus
fila.677,Dicentrarchus-labrax,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19513,19513,Valid,Dicentrarchus labrax
fila.678,Dichotomyctere-fluviatilis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=23566,23566,Valid,Dichotomyctere fluviatilis
fila.679,Dionda-diaboli,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2070,2070,Valid,Dionda diaboli
fila.680,Diplodus-cervinus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=15733,15733,Valid,Diplodus cervinus
fila.681,Diplodus-sargus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19585,19585,Valid,Diplodus sargus
fila.682,Diptychus-maculatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3258,3258,Valid,Diptychus maculatus
fila.683,Discherodontus-ashmeadi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=30950,30950,Valid,Discherodontus ashmeadi
fila.684,Distichodus-rostratus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3710,3710,Valid,Distichodus rostratus
fila.685,Distocyclus-conirostris,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=6109,6109,Valid,Distocyclus conirostris
fila.686,Doboatherina-duodecimalis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=33931,33931,Valid,Doboatherina duodecimalis
fila.687,Doraops-zuloagai,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=5874,5874,Valid,Doraops zuloagai
fila.688,Dormitator-cubanus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=27015,27015,Valid,Dormitator cubanus
fila.689,Dormitator-latifrons,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=18550,18550,Valid,Dormitator latifrons
fila.690,Dormitator-lebretonis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=21394,21394,Valid,Dormitator lebretonis
fila.691,Dormitator-maculatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=18551,18551,Valid,Dormitator maculatus
fila.692,Dorosoma-cepedianum,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1163,1163,Valid,Dorosoma cepedianum
fila.693,Dorosoma-petenense,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1140,1140,Valid,Dorosoma petenense
fila.694,Drepane-longimana,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=38336,38336,Valid,Drepane longimana
fila.695,Drepane-punctata,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19519,19519,Valid,Drepane punctata
fila.696,Drombus-globiceps,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=55305,55305,Valid,Drombus globiceps
fila.697,Drombus-triangularis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=43439,43439,Valid,Drombus triangularis
fila.698,Ehirava-fluviatilis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1231,1231,Valid,Ehirava fluviatilis
fila.699,Eigenmannia-limbata,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=30083,30083,Valid,Eigenmannia limbata
fila.700,Eigenmannia-macrops,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=30084,30084,Valid,Eigenmannia macrops
fila.701,Eigenmannia-virescens,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=6074,6074,Valid,Eigenmannia virescens
fila.702,Eleginus-gracilis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=12327,12327,Valid,Eleginus gracilis
fila.703,Eleginus-nawaga,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=12333,12333,Valid,Eleginus nawaga
fila.704,Eleotris-acanthopoma,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=18552,18552,Valid,Eleotris acanthopomus
fila.705,Eleotris-amblyopsis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=18553,18553,Valid,Eleotris amblyopsis
fila.706,Eleotris-annobonensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=22915,22915,Valid,Eleotris annobonensis
fila.707,Eleotris-aquadulcis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=58737,58737,Valid,Eleotris aquadulcis
fila.708,Eleotris-balia,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=56690,56690,Synonym,Eleotris oxycephala
fila.709,Eleotris-daganensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=46781,46781,Valid,Eleotris daganensis
fila.710,Eleotris-fusca,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=47464,47464,Valid,Eleotris fusca
fila.711,Eleotris-lutea,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=48829,48829,Valid,Eleotris lutea
fila.712,Eleotris-mauritiana,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=49180,49180,Uncertain,Eleotris mauritiana
fila.713,Eleotris-melanosoma,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=18558,18558,Valid,Eleotris melanosoma
fila.714,Eleotris-oxycephala,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=18559,18559,Valid,Eleotris oxycephala
fila.715,Eleotris-pellegrini,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=59972,59972,Valid,Eleotris pellegrini
fila.716,Eleotris-perniger,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=50366,50366,Valid,Eleotris perniger
fila.717,Eleotris-pisonis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19945,19945,Valid,Eleotris pisonis
fila.718,Eleotris-sandwicensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=56000,56000,Valid,Eleotris sandwicensis
fila.719,Eleotris-senegalensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=51315,51315,Valid,Eleotris senegalensis
fila.720,Eleotris-tecta,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=63444,63444,Valid,Eleotris tecta
fila.721,Eleotris-valadei,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=76329,76329,Valid,Eleotris valadei
fila.722,Eleutheronema-tetradactylum,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=20395,20395,Valid,Eleutheronema tetradactylum
fila.723,Ellochelon-vaigiensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=21499,21499,Valid,Ellochelon vaigiensis
fila.724,Elopichthys-bambusa,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3216,3216,Valid,Elopichthys bambusa
fila.725,Elops-hawaiensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=58306,58306,Valid,Elops hawaiensis
fila.726,Elops-saurus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=57824,57824,Valid,Elops saurus
fila.727,Elops-senegalensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=58507,58507,Valid,Elops senegalensis
fila.728,Engraulicypris-brevianalis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2387,2387,Valid,Engraulicypris brevianalis
fila.729,Engraulicypris-sardella,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2074,2074,Valid,Engraulicypris sardella
fila.730,Engraulis-maeoticus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=26092,26092,Synonym,Engraulis encrasicolus
fila.731,Enneacanthus-chaetodon,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=20556,20556,Valid,Enneacanthus chaetodon
fila.732,Enophrys-lucasi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=56556,56556,Valid,Enophrys lucasi
fila.733,Enteromius-ablabes,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=30899,30899,Valid,Enteromius ablabes
fila.734,Enteromius-afrohamiltoni,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1367,1367,Valid,Enteromius afrohamiltoni
fila.735,Enteromius-amatolicus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=60148,60148,Valid,Enteromius amatolicus
fila.736,Enteromius-annectens,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1400,1400,Valid,Enteromius annectens
fila.737,Enteromius-anoplus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1402,1402,Valid,Enteromius anoplus
fila.738,Enteromius-apleurogramma,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1405,1405,Valid,Enteromius apleurogramma
fila.739,Enteromius-arcislongae,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1410,1410,Valid,Enteromius arcislongae
fila.740,Enteromius-argenteus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1411,1411,Valid,Enteromius argenteus
fila.741,Enteromius-baudoni,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1428,1428,Valid,Enteromius baudoni
fila.742,Enteromius-bifrenatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1957,1957,Valid,Enteromius bifrenatus
fila.743,Enteromius-brevipinnis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1445,1445,Valid,Enteromius brevipinnis
fila.744,Enteromius-eutaenia,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1541,1541,Valid,Enteromius eutaenia
fila.745,Enteromius-gurneyi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1571,1571,Valid,Enteromius gurneyi
fila.746,Enteromius-kerstenii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1651,1651,Valid,Enteromius kerstenii
fila.747,Enteromius-leonensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1678,1678,Valid,Enteromius leonensis
fila.748,Enteromius-liberiensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1679,1679,Valid,Enteromius liberiensis
fila.749,Enteromius-lineomaculatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1680,1680,Valid,Enteromius lineomaculatus
fila.750,Enteromius-litamba,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=31298,31298,Valid,Enteromius litamba
fila.751,Enteromius-macinensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1700,1700,Valid,Enteromius macinensis
fila.752,Enteromius-macrops,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1703,1703,Valid,Enteromius macrops
fila.753,Enteromius-magdalenae,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1707,1707,Valid,Enteromius magdalenae
fila.754,Enteromius-mattozi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1730,1730,Valid,Enteromius mattozi
fila.755,Enteromius-motebensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1756,1756,Valid,Enteromius motebensis
fila.756,Enteromius-neefi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1784,1784,Valid,Enteromius neefi
fila.757,Enteromius-nyanzae,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1799,1799,Valid,Enteromius nyanzae
fila.758,Enteromius-pallidus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1818,1818,Valid,Enteromius pallidus
fila.759,Enteromius-paludinosus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1821,1821,Valid,Enteromius paludinosus
fila.760,Enteromius-pobeguini,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1849,1849,Valid,Enteromius pobeguini
fila.761,Enteromius-pumilus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1862,1862,Valid,Enteromius pumilus
fila.762,Enteromius-radiatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1867,1867,Valid,Enteromius radiatus
fila.763,Enteromius-rapax,---,---,---,Enteromius-rapax
fila.764,Enteromius-stigmatopygus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1908,1908,Valid,Enteromius stigmatopygus
fila.765,Enteromius-sublineatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1911,1911,Valid,Enteromius sublineatus
fila.766,Enteromius-toppini,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1929,1929,Valid,Enteromius toppini
fila.767,Enteromius-treurensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1933,1933,Valid,Enteromius treurensis
fila.768,Enteromius-trimaculatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1936,1936,Valid,Enteromius trimaculatus
fila.769,Enteromius-unitaeniatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1946,1946,Valid,Enteromius unitaeniatus
fila.770,Enteromius-viviparus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1956,1956,Valid,Enteromius viviparus
fila.771,Entosphenus-lethophagus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=6459,6459,Valid,Entosphenus lethophagus
fila.772,Entosphenus-macrostomus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=8727,8727,Valid,Entosphenus macrostoma
fila.773,Entosphenus-minimus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=6461,6461,Valid,Entosphenus minimus
fila.774,Entosphenus-similis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=6466,6466,Valid,Entosphenus similis
fila.775,Entosphenus-tridentatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=6511,6511,Valid,Entosphenus tridentatus
fila.776,Epalzeorhynchos-frenatum,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=28991,28991,Valid,Epalzeorhynchos frenatum
fila.777,Epalzeorhynchos-kalopterus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3159,3159,Valid,Epalzeorhynchos kalopterum
fila.778,Ephippus-orbis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19742,19742,Valid,Ephippus orbis
fila.779,Epinephelus-malabaricus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=35623,35623,Valid,Epinephelus malabaricus
fila.780,Epiplatys-bifasciatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=13603,13603,Valid,Epiplatys bifasciatus
fila.781,Epiplatys-sexfasciatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=14230,14230,Valid,Epiplatys sexfasciatus
fila.782,Epiplatys-spilargyreius,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=13616,13616,Valid,Epiplatys spilargyreius
fila.783,Eretmobrycon-brevirostris,---,---,---,Eretmobrycon-brevirostris
fila.784,Eretmobrycon-festae,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=28416,28416,Valid,Eretmobrycon festae
fila.785,Erimyzon-oblongus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3314,3314,Valid,Erimyzon oblongus
fila.786,Erimyzon-sucetta,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=2989,2989,Valid,Erimyzon sucetta
fila.787,Erimyzon-tenuis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=28675,28675,Valid,Erimyzon tenuis
fila.788,Escualosa-thoracata,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=25702,25702,Valid,Escualosa thoracata
fila.789,Esomus-danrica,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=30663,30663,Valid,Esomus danrica
fila.790,Esomus-longimanus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=56394,56394,Valid,Esomus longimanus
fila.791,Esomus-metallicus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=30686,30686,Valid,Esomus metallicus
fila.792,Esox-americanus,---,---,---,Esox-americanus
fila.793,Esox-lucius,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=10785,10785,Valid,Esox lucius
fila.794,Esox-masquinongy,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=10208,10208,Valid,Esox masquinongy
fila.795,Esox-niger,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=10209,10209,Valid,Esox niger
fila.796,Esox-reichertii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=10210,10210,Valid,Esox reichertii
fila.797,Etheostoma-akatulo,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=70800,70800,Valid,Etheostoma akatulo
fila.798,Etheostoma-asprigene,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=16123,16123,Valid,Etheostoma asprigene
fila.799,Etheostoma-blennioides,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19747,19747,Valid,Etheostoma blennioides
fila.800,Etheostoma-boschungi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=16135,16135,Valid,Etheostoma boschungi
fila.801,Etheostoma-caeruleum,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=22409,22409,Valid,Etheostoma caeruleum
